all time stamps are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred
,C1,B2,A1,A2,B3,D1,Y,B1(MV),C2(MV),D3,D2,Z
58,115.07618,10531.03906,210.078186,1735.509888,0.803911,0.469556,3.508601,58.40625,62.375,52.000263,85.735031,1563.614014
59,115.254021,10528.04102,210.043823,1735.246582,0.805178,0.46968,3.503447,58.40625,62.375,52.020599,85.867874,1561.989136
60,114.918846,10528.90918,210.189087,1735.484009,0.805701,0.468315,3.506473,58.40625,62.375,52.042412,85.942001,1563.60791
61,114.769814,10528.96582,210.122223,1735.682495,0.804402,0.469049,3.506287,58.40625,62.375,52.044323,85.867874,1565.591187
62,115.330666,10531.09863,210.237717,1735.057129,0.800459,0.468483,3.504168,58.40625,62.375,52.051777,85.905495,1563.921631
63,114.819542,10530.70215,210.094376,1735.184692,0.800488,0.469243,3.499988,58.40625,62.375,52.049698,85.867805,1562.039795
64,115.025078,10531.89258,210.217728,1735.32666,0.802311,0.467029,3.512756,58.40625,62.375,52.046543,85.793518,1566.560425
65,115.219284,10531.39356,210.106644,1735.073486,0.802485,0.466615,3.50777,58.40625,62.375,52.032413,85.848801,1564.656128
66,115.221497,10532.58789,210.145981,1735.090576,0.803771,0.466824,3.501727,58.40625,62.375,52.043724,85.868973,1560.149048
67,115.439186,10530.49121,210.153275,1735.281616,0.805297,0.466479,3.51441,58.40625,62.375,52.045822,85.943985,1565.209351
68,115.237457,10528.94043,210.132629,1734.967041,0.803276,0.465426,3.505416,58.40625,62.375,52.048145,85.943108,1563.478027
69,115.164589,10529.70215,210.022552,1735.588623,0.803368,0.467043,3.507964,58.40625,62.375,52.052509,85.864326,1563.072388
70,115.752312,10529.49414,210.041138,1734.964233,0.804731,0.466035,3.504402,58.40625,62.375,52.059635,86.000694,1564.817261
71,114.514442,10528.30664,210.004196,1735.676392,0.800066,0.464894,3.509654,58.40625,62.375,52.065327,85.867943,1566.324341
72,114.772942,10526.30859,210.066635,1735.630981,0.803479,0.466697,3.506257,58.40625,62.375,52.064781,85.886383,1564.728149
73,115.312363,10527.05957,210.197662,1736.148315,0.804271,0.465356,3.508055,58.40625,62.375,52.062443,85.7174,1563.666382
74,114.850662,10524.9209,210.012482,1735.334961,0.800405,0.466376,3.506648,58.40625,62.375,52.062111,85.864059,1562.281128
75,114.928879,10530.5127,210.160278,1735.40564,0.803344,0.467035,3.505903,58.40625,62.375,52.07262,85.924294,1563.324341
76,114.837273,10529.98145,210.076797,1735.566406,0.799628,0.468049,3.507689,58.40625,62.375,52.080544,85.867058,1565.151123
77,114.998802,10526.7002,210.084457,1735.736206,0.802815,0.466396,3.503233,58.40625,62.375,52.077023,85.792633,1566.156128
78,115.397957,10527.59375,209.946594,1736.10144,0.805155,0.467144,3.513343,58.40625,62.375,52.073692,85.792633,1567.754272
79,114.639236,10525.91895,210.116653,1735.199951,0.80163,0.466878,3.497165,58.40625,62.375,52.07486,85.867851,1562.522583
80,115.247581,10528.16406,210.186218,1735.079712,0.802528,0.467919,3.505293,58.40625,62.375,52.069958,85.81115,1565.555664
81,115.118782,10526.76465,210.134277,1735.998413,0.801172,0.467796,3.504919,58.40625,62.375,52.068493,85.980736,1564.364746
